,smart_basket
M09736,7572306;15668416;15669856;7569805;21409124;34990774;15668468;15669789;15668381;15668685
M39021,7580802;15668379;15668375;15668467;15668460;15669789;15668466;15669875;15668451
M47229,15668688;15668467;15668416;15668460;15668378;15668381;15669767;15670267;7621580;15670157;15668470
M76390,7572298;7586313;15669778;15669816;15669859
M77779,15668458;15668462;15669872;15669862;15668468;15668375;15669835;15669760;15668379
M78365,15668377;15668466;15668460;15668453;15668380;15668381
M78720,15668478;15668381;7753738;7586502;15668379;7624788;15668468;7718555;15669828;7586308
M82651,15668375;15669780;15669988;15668457;15669764;34987566;15668378;15668379;15668381
M84827,15670260;15668416;15670157;15670252;15668460;15668466;15669856;15670251;15668494
M86304,15668378;21409004;15669824;15669817;15669869;15668460
M86572,15668520;15669872;15668460;15668451;15668467;15668465;15669886
M90375,15668379;15669863;15668594;15668494;7561688
M91098,15669775;15668451;7580802;15669785;15668378;15669821;15668462;15668467
M96365,15668378;15669785;15668467;15669856;15668688;15668460
M99030,15668460;15668453;15668381;15668475;15668468;15669777;15669878;15669786
M99206,7753779;15668688;15668462;15668451;15668468;15669825;15668416;15669881;15669760;92388008
M04158,15668378;15668449;15668687;15668458
M08075,15668460;15668465;15668381;15668469;15668471;15668685;15668378;15668462;15668474;15668375;15669880;15668688
M09303,15668468;15669958;15668379;15668478;15668688
M12050,15668471;15668468;15668416;15668685;15670251;15668465;15668451;15670252;15670157;15669878;15668381;7569801;15668688;15669860
M12127,15670260;7587488;7587678;7718555;15668416;15670251;7587656;92434169;15670157;7587648;15668379
M14746,15670157;15668460;15668381;15668458;15668451;15670260;15670251;15669961;15669965
M16218,15668416;15668378;15668467;15668453;15668462;15668375
M16611,7586315;15668467;34993369;15668378;15668685;15668460;15668381
M18732,15668381;15668458;15669824;15668416;15668688;15668460
M22037,7580802;15668379;15668381;15668462;15668468;15669767;15669780;15668451;15668474
M25900,34987294;7572305;15669880;7575483;15669803;15668478;15668378;15668467;7637309;15668381;15670251;15668460
M27458,15668460;15668381;15668467;15668465;15668688;15668378
M27871,15670251;15668688;21410636;21410638;15670260
M31101,15670245;15669856;15668477;15670251
M31908,15668521;15668379;7593949;15669869;7580802;15669821
M31966,15668451;15668467;15668381;7689353;15668379;15668378;15668465;15669869
M32039,15668378;15669861;15669799;15669886;15670010;15669958;15668381
M32409,15668460;15668458;15668378;15668469;7579697;7579698;15668473;15669862;15669866;15669789;15669777;15669879;15669790;15669878;15668381;15669810
M32449,7689353;15668379;15670251;15668471;15668381;15668462
M32480,15668685;15668468;15668478;15668689;15668474
M32655,34986119;7572307;15669778;15669859;15669760
M33064,15668466;15668463;15668476;15668468;15668471;15668688;15669777
M33422,15669780;15669787;15668688;15668458;7729965
M33491,15668381;15668462;15668457;15668449;15668478
M33558,15668478;15668462;15669777;15668416;15668688;15669824;15669867;15669778;15668467
M33745,15669880;15669819;15669832;15669778;7617882;7627860;15668476;15669857;15669760;15669859;15669769;15669767;7627858;15669860;15669863;15668473;15670246;7587665;15668594
M33767,15668466;15668416;15668687;15669872;7753742;15669832;15668460;7624792;15669857;15668448;7627860
M34566,15668478;15668468;15668462;15668379;15668459;15668520;15669878;15668378
M35070,15668478;15668416;15668375;15669824;15668379;15668465;15669856;15668451
M35464,15669821;7572313;15669832;7569802;15669878;15669763;29247044;15669760;7573376;15669769;15669772
M35538,7586526;15668465;15668478;15668688;15668468;15670157;15670251;15670260
M35649,15668478;15668688;15669880;15668468;15669817;15668462;15668379;7585573
